Episode;Total Reward;Epsilon;Elapsed time [s]
548;-47.514;0.064;20.14
549;-32.88;0.064;20.57
550;228.61;0.063;5.48
551;-8.779;0.063;6.55
552;188.889;0.063;20.08
553;249.376;0.063;7.8
554;255.656;0.062;5.88
555;251.856;0.062;5.69
556;285.169;0.062;6.17
557;228.023;0.061;17.43
558;-200.121;0.061;6.41
559;79.909;0.061;20.17
560;-15.877;0.06;20.4
561;268.139;0.06;6.66
562;-27.805;0.06;2.21
563;194.956;0.059;15.07
564;4.111;0.059;20.54
565;222.424;0.059;4.98
566;248.332;0.059;3.94
567;42.304;0.058;2.74
568;165.658;0.058;11.81
569;210.204;0.058;10.15
570;233.389;0.057;7.12
571;-42.259;0.057;2.41
572;201.879;0.057;10.76
573;-17.383;0.057;1.93
574;-10.432;0.056;3.46
575;228.587;0.056;17.15
576;95.196;0.056;20.77
577;0.538;0.055;20.69
578;29.761;0.055;20.52
579;235.485;0.055;12.0
580;-149.349;0.055;1.83
581;13.784;0.054;20.26
582;126.519;0.054;19.51
583;248.271;0.054;6.43
584;172.809;0.054;20.39
585;241.286;0.053;14.6
586;263.636;0.053;5.49
587;261.413;0.053;5.98
588;-133.882;0.052;1.6
589;-12.381;0.052;3.95
590;160.891;0.052;19.87
591;158.264;0.052;20.34
592;234.81;0.051;4.94
593;257.64;0.051;4.59
594;-233.624;0.051;19.54
595;-104.105;0.051;9.27
596;-410.35;0.05;4.46
597;158.858;0.05;20.47
598;230.88;0.05;11.98
599;272.917;0.05;6.9
600;234.52;0.049;8.93
601;-507.212;0.049;4.47
602;14.788;0.049;20.76
603;202.668;0.049;4.16
604;248.757;0.048;6.69
605;230.178;0.048;17.03
606;242.23;0.048;18.97
607;-64.367;0.048;20.66
608;-23.972;0.047;4.01
609;259.764;0.047;8.91
610;183.797;0.047;18.11
611;-2.045;0.047;4.75
612;18.307;0.047;20.74
613;260.665;0.046;8.09
614;255.251;0.046;5.95
615;-35.32;0.046;20.67
616;59.054;0.046;20.81
617;-29.224;0.045;20.62
618;133.698;0.045;20.13
619;-77.414;0.045;3.44
620;-157.639;0.045;3.79
621;-113.807;0.044;3.62
622;186.158;0.044;15.47
623;146.164;0.044;19.74
624;109.166;0.044;20.25
625;245.314;0.044;4.21
626;9.582;0.043;2.74
627;144.075;0.043;20.37
628;-18.988;0.043;20.82
629;-66.994;0.043;4.29
630;247.344;0.043;11.86
631;-80.786;0.042;5.99
632;226.512;0.042;19.11
633;-234.625;0.042;1.41
634;-135.762;0.042;2.16
635;236.09;0.041;10.83
636;-178.926;0.041;1.23
637;-244.003;0.041;4.23
638;44.725;0.041;20.4
639;144.381;0.041;20.21
640;264.227;0.04;13.71
641;-239.196;0.04;1.32
642;236.339;0.04;13.57
643;-227.378;0.04;14.4
644;242.534;0.04;7.37
645;153.028;0.039;20.07
646;-10.106;0.039;3.44
647;4.012;0.039;2.61
648;-254.955;0.039;1.52
649;218.806;0.039;9.71
650;195.801;0.038;12.26
651;-145.185;0.038;4.74
652;-227.033;0.038;1.32
653;128.204;0.038;20.31
654;161.662;0.038;20.35
655;215.787;0.038;11.25
656;226.463;0.037;6.96
